record_Id,group,dataSetName,lon,lat,elev,archive,proxy,age,resolution,temperature,temperature_type,season,continent
MilandreCave.Affolter.2019_0_105,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2401.5,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_106,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2451.5,35,7.5,absolute,annual,1
MilandreCave.Affolter.2019_0_107,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2509,35,7.7,absolute,annual,1
MilandreCave.Affolter.2019_0_108,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2573.5,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_109,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2648,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_110,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2693.5,35,7.7,absolute,annual,1
MilandreCave.Affolter.2019_0_111,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2746.5,35,8.4,absolute,annual,1
MilandreCave.Affolter.2019_0_112,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2804.5,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_113,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2864.5,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_114,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2918,35,8.4,absolute,annual,1
MilandreCave.Affolter.2019_0_115,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2960.5,35,8.5,absolute,annual,1
MilandreCave.Affolter.2019_0_116,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,2999.5,35,7.5,absolute,annual,1
MilandreCave.Affolter.2019_0_117,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3045.5,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_118,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3075.5,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_119,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3112.5,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_120,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3149,35,8.5,absolute,annual,1
MilandreCave.Affolter.2019_0_121,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3185.5,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_122,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3218.5,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_123,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3258,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_124,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3301,35,8.6,absolute,annual,1
MilandreCave.Affolter.2019_0_125,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3337.5,35,8.5,absolute,annual,1
MilandreCave.Affolter.2019_0_126,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3374.5,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_127,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3417,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_128,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3462,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_129,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3506.5,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_130,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3547,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_131,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3582.5,35,8.3,absolute,annual,1
